"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
5,4.57154,8.49859,18.9275,8.25567,19.4124,20.5339,6.70996,27.0059,10.511,9.69362,14.1356,3.97004
5,20.1447,-2.06125,15.3782,19.74,5.79985,25.7126,3.57298,19.7336,18.0099,0.500715,20.4146,4.76912
5,9.38589,-0.40698,28.9447,2.25835,21.3081,12.471,9.61558,21.0915,9.37564,14.0276,6.33964,8.71582
2,21.6733,-1.32946,15.9919,16.9514,4.40945,28.8697,4.92734,21.62,16.2277,-6.86887,20.307,4.61284
1,10.3745,11.5267,11.223,14.3038,9.84105,27.5515,3.57893,23.408,16.6507,-1.14746,18.1467,0.088535
5,3.77764,7.15106,16.8674,11.4567,17.0555,18.6388,5.3824,25.7235,10.8393,8.69551,10.4011,5.39067
2,19.2635,1.98202,15.2737,21.9598,8.33277,28.3185,6.10788,22.1312,17.3272,-6.21565,18.7709,4.17747
5,17.0653,-0.716885,26.0983,7.18562,15.8309,12.8379,13.576,22.3404,2.48903,15.8461,6.21024,10.2594
5,21.4814,-4.2846,19.1467,23.4226,7.80691,24.6897,5.14353,19.4832,17.6341,-1.27022,21.8011,2.14072
1,13.649,4.81307,15.8605,9.27476,6.73798,27.6937,1.23283,26.6135,17.6378,-0.459027,19.8742,-0.873321
1,10.4958,6.1244,17.9827,16.6529,7.89148,28.4221,4.7387,23.137,17.8914,1.87681,17.3678,3.49533
5,20.8186,-0.0137446,15.0264,24.5108,9.70401,28.881,7.47322,20.0595,17.262,-1.8603,20.9426,2.87913
2,20.2808,5.56244,19.1759,23.4736,4.52174,25.7438,5.89992,27.0332,21.8668,-5.98737,17.8504,2.29737
5,9.91251,7.6661,19.1718,10.553,20.9018,17.8572,7.07414,28.0735,12.3196,8.90063,7.45716,4.65187
1,12.2406,7.90555,14.6352,14.9505,7.45625,25.7439,1.71399,22.8155,17.8724,1.03186,18.1276,-2.77147
1,13.8189,5.52075,18.0876,13.9116,7.01181,26.4371,0.244972,23.9226,18.7142,1.4819,18.6279,-3.77575
5,9.87615,3.20903,23.7061,13.4792,18.4553,18.3522,6.9591,26.8034,10.5732,9.9821,10.251,5.22907
2,15.078,0.734523,25.4741,19.0684,5.58232,28.1046,0.727061,21.4623,16.7748,-2.04044,16.2917,-0.847239
5,14.0044,-1.25135,30.3128,1.15577,20.0968,13.9572,9.23068,20.4173,9.12267,14.5486,6.25059,9.0435
2,18.983,2.84255,19.9521,21.5294,6.36195,28.1361,1.96375,21.4919,18.5954,-1.50881,16.3321,-1.22186
1,14.1316,6.82773,17.2869,13.7711,6.53415,28.58,1.52728,23.5117,18.626,-0.145062,19.3717,-1.15856
5,8.46184,4.44079,19.0468,11.5605,17.4557,17.7809,6.72229,27.8977,10.3716,10.5359,12.5008,4.29556
2,15.5988,-1.12325,24.8574,20.4406,5.48692,28.1402,-0.73948,22.6822,19.2138,-2.51845,16.2763,0.668976
1,5.13609,9.60843,14.4246,14.481,9.95509,25.8547,1.56919,25.2282,16.2044,1.19812,17.6819,-0.804928
5,18.5815,0.212074,15.6467,21.179,8.29545,28.1014,5.08747,21.6535,18.0015,-1.66194,20.1154,4.62976
5,10.3295,6.32495,18.9957,8.90617,14.9484,17.9917,8.04815,28.2214,8.45544,9.76047,15.275,6.7684
1,15.0316,7.93317,15.4086,18.5332,8.10199,27.1522,4.10312,22.6912,19.3469,2.55132,15.4193,-0.570354
1,12.0257,8.35635,18.1239,12.6713,6.86199,27.8937,2.75689,26.0756,17.7564,-1.71004,18.1846,-0.677876
2,17.8036,3.51439,25.0928,22.2369,4.72348,25.9723,-0.0033464,24.0993,17.5791,-6.93511,16.5569,-0.887197
5,15.0437,3.64562,17.6247,21.0751,5.8391,25.67,8.79505,22.9948,19.1654,2.32945,18.574,2.54108
2,18.2247,2.15305,17.5793,21.0732,7.25994,29.6003,5.65145,22.256,16.9237,-4.46205,18.0249,4.36337
5,15.1107,-0.220938,30.2745,12.9841,19.642,18.6923,10.2326,23.4292,9.86401,13.5209,5.78228,9.27642
2,15.8868,5.407,16.2617,22.9321,9.89109,27.8141,5.09596,24.1765,19.5597,-4.81231,18.3179,3.89147
5,4.27662,7.35406,19.0734,16.0284,16.292,15.5516,6.44331,28.1497,10.286,8.21097,9.59173,4.25176
5,4.82283,6.87741,18.9182,8.50238,15.9056,19.2965,7.75996,27.1555,11.7695,9.52497,13.07,5.80933
1,10.4851,11.5051,16.1112,13.8567,8.0669,26.8876,2.40932,26.1002,17.7323,-2.33704,17.7997,-0.356914
2,14.7441,2.31108,22.5468,19.0002,7.07504,27.7108,1.62561,24.1699,17.4553,-3.01924,15.3586,-1.35644
1,15.0189,5.40275,17.8831,16.0008,7.95249,28.5736,3.21441,22.497,18.5895,0.978947,16.6466,0.261626
1,14.3526,9.37186,13.7771,16.0412,5.38243,25.7193,3.67413,23.7021,19.2292,-1.14129,16.9264,-0.406459
1,11.5709,8.87604,16.8612,13.5662,6.20307,27.984,2.88535,24.2452,17.696,0.0881397,17.6756,-0.105824
2,18.5571,0.696903,16.0081,23.6533,9.53669,28.4641,4.18412,19.8736,16.6542,-5.63407,19.3025,-0.3056
5,5.71411,1.92701,20.0008,9.54275,16.278,18.2853,6.49305,28.244,11.0407,8.64681,12.5803,6.68286
2,18.1488,4.36659,21.4704,21.2641,7.37545,28.2518,1.65337,24.7348,19.2645,-3.93024,16.9826,-0.512447
5,23.0373,0.460497,24.2823,8.87357,18.6691,15.5571,8.94629,21.7705,7.11105,19.3265,5.02833,8.66676
1,10.4193,5.90011,18.8755,14.7399,7.31099,26.3491,1.26108,24.4131,17.4225,-1.68049,18.1741,-0.946643
2,18.1764,-0.272813,21.8104,17.3947,2.41387,26.0511,6.01063,27.5678,14.8326,-8.42918,21.3166,2.41743
2,14.7456,0.774144,22.2044,19.434,6.08992,26.2043,5.43318,26.7097,15.5362,-5.77012,19.4284,3.35265
